location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
   Wagholi,1,Flat,550,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,West,26
  Wagholi,1,Flat,560,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,NA,25
 Sinhagad Road,3,House,2308,Ready to Move,Resale,Unfurnished,3,3,3,Freehold,East,175
  Keshav Nagar Mundhwa,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,55
  Hadapsar,3,Flat,809,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,North  East,90
 Undri,2,Flat,880,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North,51
  NIBM Road,2,Flat,1000,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,95
  Chakan,1,Flat,431,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,20.7
 Talegaon Dabhade,1,Flat,445,Ready to Move,New Property,Unfurnished,1,1,3,Freehold,East,19.9
  Wakad,3,Flat,890,Ready to Move,Resale,SemiFurnished,0,3,1,Freehold,East,155
  Dighi,1,Flat,440,Ready to Move,Resale,Unfurnished,1,1,NA,Cooperative Society,East,25
  Wadgaon Sheri,2,Flat,870,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,73
 colors Society,2,Flat,642,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,36.5
 Talegaon Dabhade,2,Flat,640,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North,28
 Vishal Nagar Pimpri Chinchwad,3,Flat,1008,Ready to Move,Resale,SemiFurnished,1,3,1,Cooperative Society,South  East,79
  Pimple Saudagar Pimpri Chinchwad,3,Flat,1275,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,92
  Hinjewadi,1,Flat,318,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,19.5
 Sangamvadi,4,Flat,2444,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,North  East,450
  Pisoli,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,2,Cooperative Society,NA,28
  Kothrud,3,Flat,950,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,110
  Baner,2,Flat,836,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,70
 Pimpri Chinchwad,2,Flat,796,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,North,80
  Bhusari Colony Kothrud,2,Flat,1018,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,South,96
  Narhe,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,NA,Freehold,East,24.5
 Balewadi,2,Flat,820,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,66
 Kothrud,1,Flat,430,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,South  East,62
  Pashan,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,72
  Hadapsar,3,Flat,900,Ready to Move,Resale,SemiFurnished,1,3,2,Freehold,East,65.3
