 bedroom, carpet_area, balcony, park_count,bath, price_in_Lac
0,445,1,1,0,45
0,490,1,1,1,70
0,270,0,1,0,27.5
0,2800,1,6,5,97.2
0,1250,3,10,1,175
1,550,1,1,1,26
1,560,1,1,1,25
1,431,1,1,1,20.7
1,445,1,1,3,19.9
1,440,1,1,1,25
1,318,0,1,1,19.5
1,430,1,1,1,62
1,538,0,1,1,42
1,318,1,1,1,16
1,466,1,1,1,37
1,385,0,1,1,18
1,330,0,1,1,21
1,470,1,1,1,29
1,586,1,1,1,48
1,450,1,1,1,41
1,613,1,2,1,30
1,400,1,1,1,18.9
1,400,1,1,1,35
1,523,0,1,1,40
1,936,0,2,1,65
1,620,1,1,1,65
1,450,0,2,1,20
1,451,1,1,1,36
1,500,1,1,1,52
1,413,0,1,1,30
1,453,0,1,2,45
1,540,1,2,1,65
1,550,1,1,1,34.5
1,520,1,1,1,29
1,560,0,1,1,42
1,586,0,1,1,28
1,350,0,1,1,18
1,551,1,1,1,18.5
1,550,1,1,1,30
1,540,0,2,1,30
1,588,1,1,1,60
1,708,0,2,1,55
1,532,0,1,1,28
1,625,1,1,1,37
1,430,1,1,1,39.5
1,500,0,1,1,53
1,638,0,1,1,35
1,608,0,1,2,65
1,480,1,1,1,30
1,480,1,2,1,40
1,480,0,1,1,40
1,500,1,1,1,40
1,516,1,2,1,35
1,500,1,1,1,42
1,500,0,1,1,43.3
1,500,1,1,1,52
1,630,0,2,1,55
1,499,5,2,1,22
1,1800,1,6,4,140
1,510,1,1,1,34
1,366,1,1,1,26.2
1,480,1,1,1,42
1,384,1,1,1,33.5
1,480,1,1,1,37
1,677,1,1,1,27.4
1,580,2,1,1,55
1,650,1,1,1,26
1,490,1,2,1,28.5
1,520,1,2,1,41
1,480,0,1,1,40
1,493,1,1,1,36.3
1,525,1,1,1,71
1,700,1,2,2,32.6
1,516,1,1,1,38
1,560,0,1,1,40
1,520,1,1,1,28.5
1,450,1,1,2,50
1,525,1,1,1,45
1,570,0,2,1,35
1,460,0,1,1,24
1,415,1,1,1,42
1,502,1,1,1,30
1,550,0,1,1,37
1,415,0,2,1,37
1,407,1,1,1,24.7
1,511,1,1,2,43
1,500,0,1,1,27
1,400,1,1,1,35
1,400,1,1,1,34
1,580,603,1,1,41
1,490,0,1,1,28
1,436,1,1,1,30
1,537,1,1,2,39.9
1,460,0,1,1,19.5
1,505,0,1,1,27
1,435,0,1,1,27
1,480,1,1,1,21
1,500,1,1,1,46
1,430,0,1,1,30
1,482,1,1,1,60
1,500,1,1,1,43
1,620,1,1,1,34
1,486,1,1,1,37
1,480,0,2,1,45
1,885,1,1,1,69.9
1,440,1,1,1,28
1,456,0,2,1,36
1,3000,1,1,1,145
1,484,1,2,2,24
1,526,1,1,1,50
1,510,1,1,1,24
1,450,1,1,1,27
1,560,1,1,2,37
1,495,0,1,1,18
1,470,0,1,1,38
1,450,0,2,1,30
1,500,100,1,1,32
1,570,1,1,1,32
1,559,1,1,1,48
1,570,1,1,2,45
1,522,2,1,1,35
1,436,1,1,1,39
1,480,2,1,2,34
1,450,0,1,1,36
1,1431,1,1,1,86
1,396,1,1,1,34
1,505,0,2,1,22
1,369,0,1,1,20
1,542,0,1,2,22
1,516,0,1,1,40
1,497,0,2,1,13
1,480,1,1,1,35
1,480,0,1,1,65
1,435,1,1,1,23.8
1,555,0,1,1,38
1,380,0,1,1,24
1,480,0,1,1,50
1,578,0,1,1,35
1,407,505,1,1,35
1,450,1,1,1,32
1,415,0,2,1,38
1,442,1,1,1,45
1,475,0,1,2,22.8
1,400,1,1,1,14.5
1,280,0,1,1,19
1,504,1,1,1,35
1,492,0,1,1,43
1,515,1,1,1,44
1,732,1,1,2,48.7
1,55,0,1,1,55
1,600,1,1,1,42
1,500,5,1,2,39
1,500,1,1,1,28.5
1,463,1,1,1,39
1,450,1,1,1,32
1,450,1,1,1,20
1,430,1,1,1,85
1,525,1,1,2,34
1,500,0,1,1,44
1,492,1,1,1,37.5
1,390,1,1,1,28.6
1,451,0,2,1,25
1,450,0,1,1,36
1,468,1,1,1,20
1,450,0,1,1,55
1,460,1,1,1,40
1,485,0,2,1,37.5
1,457,1,1,1,29.1
1,459,90,1,1,38
1,450,1,1,1,32.5
1,520,1,1,1,44.7
1,500,1,2,1,40.7
1,444,0,1,2,28.5
1,343,1,1,1,42
1,450,1,2,2,40
1,454,1,1,2,27.2
1,430,1,1,1,35.6
1,408,1,1,1,28
1,468,1,1,1,42
1,345,1,1,1,19
1,450,1,1,2,33
1,454,1,1,2,25.3
1,430,1,1,1,37
1,509,1,1,1,30
1,500,1,1,1,28
1,415,1,1,2,25.6
1,471,1,1,2,29
1,446,1,2,1,30.6
1,400,2,1,2,27.3
1,500,1,1,1,37
1,457,1,1,1,25.5
1,423,1,1,1,34
1,567,1,2,2,36
1,478,1,1,1,21.7
1,432,1,2,1,19
1,480,1,1,1,36
1,489,1,1,2,42
1,440,1,1,1,39
1,468,1,1,1,43
